species,size,Média,Mediana,Moda,Std,IC (90%),IC (95%),IC (99%),CV (%),Normalidade,kind,data_set
versicolor,10,4.37,4.55,4.7 & 4.5 & 4.6 ,0.488,0.283,0.349,0.501,11.16,Sim,petal_length,iris
versicolor,11,4.291,4.5,4.7 & 4.5 & 4.6 ,0.532,0.291,0.357,0.508,12.4,Sim,petal_length,iris
versicolor,12,4.283,4.5,4.7 & 4.5 & 4.6 ,0.508,0.263,0.323,0.455,11.86,Sim,petal_length,iris
versicolor,13,4.262,4.5,4.7 & 4.5 & 4.0 & 4.6 ,0.493,0.243,0.298,0.417,11.56,Sim,petal_length,iris
versicolor,14,4.293,4.5,4.7 ,0.487,0.231,0.281,0.392,11.36,Sim,petal_length,iris
versicolor,15,4.247,4.5,4.7 ,0.503,0.229,0.278,0.386,11.84,Sim,petal_length,iris
versicolor,16,4.256,4.45,4.7 ,0.487,0.213,0.26,0.359,11.44,Sim,petal_length,iris
versicolor,17,4.271,4.5,4.7 & 4.5 ,0.475,0.201,0.244,0.337,11.13,Sim,petal_length,iris
versicolor,18,4.261,4.45,4.7 & 4.5 ,0.463,0.19,0.23,0.316,10.86,Sim,petal_length,iris
versicolor,19,4.274,4.5,4.5 ,0.453,0.18,0.218,0.299,10.6,Sim,petal_length,iris
versicolor,20,4.255,4.45,4.5 ,0.449,0.174,0.21,0.287,10.55,Sim,petal_length,iris
versicolor,21,4.281,4.5,4.5 ,0.453,0.171,0.206,0.282,10.59,Sim,petal_length,iris
versicolor,22,4.268,4.45,4.5 ,0.447,0.164,0.198,0.27,10.46,Sim,petal_length,iris
versicolor,23,4.296,4.5,4.5 ,0.456,0.163,0.197,0.268,10.61,Sim,petal_length,iris
versicolor,24,4.312,4.5,4.7 & 4.5 ,0.453,0.159,0.191,0.26,10.51,Sim,petal_length,iris
versicolor,25,4.312,4.5,4.7 & 4.5 ,0.444,0.152,0.183,0.248,10.29,Sim,petal_length,iris
versicolor,26,4.315,4.45,4.7 & 4.5 ,0.435,0.146,0.176,0.238,10.08,Sim,petal_length,iris
versicolor,27,4.333,4.5,4.7 & 4.5 ,0.437,0.143,0.173,0.234,10.08,Sim,petal_length,iris
versicolor,28,4.357,4.5,4.7 & 4.5 ,0.447,0.144,0.173,0.234,10.25,Sim,petal_length,iris
versicolor,29,4.362,4.5,4.5 ,0.439,0.139,0.167,0.226,10.08,Sim,petal_length,iris
versicolor,30,4.333,4.5,4.5 ,0.46,0.143,0.172,0.231,10.61,Sim,petal_length,iris
versicolor,31,4.316,4.5,4.5 ,0.462,0.141,0.169,0.228,10.7,Sim,petal_length,iris
versicolor,32,4.297,4.45,4.5 ,0.467,0.14,0.168,0.227,10.88,Sim,petal_length,iris
versicolor,33,4.285,4.4,4.5 ,0.465,0.137,0.165,0.222,10.85,Sim,petal_length,iris
versicolor,34,4.309,4.45,4.5 ,0.479,0.139,0.167,0.224,11.11,Sim,petal_length,iris
versicolor,35,4.314,4.5,4.5 ,0.473,0.135,0.162,0.218,10.96,Sim,petal_length,iris
versicolor,36,4.319,4.5,4.5 ,0.467,0.132,0.158,0.212,10.81,Sim,petal_length,iris
versicolor,37,4.33,4.5,4.5 ,0.465,0.129,0.155,0.208,10.74,Sim,petal_length,iris
versicolor,38,4.332,4.5,4.5 ,0.459,0.126,0.151,0.202,10.59,Sim,petal_length,iris
versicolor,39,4.326,4.5,4.5 ,0.454,0.123,0.147,0.197,10.5,Sim,petal_length,iris
versicolor,40,4.318,4.45,4.5 ,0.451,0.12,0.144,0.193,10.45,Sim,petal_length,iris
versicolor,41,4.32,4.4,4.5 ,0.446,0.117,0.141,0.188,10.32,Sim,petal_length,iris
versicolor,42,4.326,4.45,4.5 ,0.442,0.115,0.138,0.184,10.22,Sim,petal_length,iris
versicolor,43,4.319,4.4,4.5 ,0.44,0.113,0.135,0.181,10.18,Sim,petal_length,iris
versicolor,44,4.295,4.4,4.5 ,0.461,0.117,0.14,0.187,10.73,Sim,petal_length,iris
versicolor,45,4.293,4.4,4.5 ,0.456,0.114,0.137,0.183,10.62,Sim,petal_length,iris
versicolor,46,4.291,4.4,4.5 ,0.451,0.112,0.134,0.179,10.51,Sim,petal_length,iris
versicolor,47,4.289,4.4,4.5 ,0.446,0.109,0.131,0.175,10.41,Sim,petal_length,iris
versicolor,48,4.29,4.4,4.5 ,0.442,0.107,0.128,0.171,10.29,Sim,petal_length,iris
versicolor,49,4.263,4.4,4.5 ,0.474,0.114,0.136,0.182,11.12,Sim,petal_length,iris
versicolor,50,4.26,4.35,4.5 ,0.47,0.111,0.134,0.178,11.03,Sim,petal_length,iris
versicolor,1,1.4,1.4,1.4,-,-,-,-,-,-,petal_width,iris
versicolor,2,1.45,1.45,None ,0.071,0.316,0.635,3.183,4.88,-,petal_width,iris
versicolor,3,1.467,1.5,1.5 ,0.058,0.097,0.143,0.331,3.94,Não,petal_width,iris
versicolor,4,1.425,1.45,1.5 ,0.096,0.113,0.152,0.28,6.72,Sim,petal_width,iris
versicolor,5,1.44,1.5,1.5 ,0.089,0.085,0.111,0.184,6.21,Sim,petal_width,iris
versicolor,6,1.417,1.45,1.5 ,0.098,0.081,0.103,0.162,6.94,Não,petal_width,iris
versicolor,7,1.443,1.5,1.5 ,0.113,0.083,0.105,0.159,7.86,Sim,petal_width,iris
versicolor,8,1.388,1.45,1.5 ,0.189,0.126,0.158,0.233,13.59,Sim,petal_width,iris
versicolor,9,1.378,1.4,1.5 & 1.3 ,0.179,0.111,0.137,0.2,12.97,Sim,petal_width,iris
versicolor,10,1.38,1.4,1.5 & 1.3 ,0.169,0.098,0.121,0.173,12.22,Sim,petal_width,iris
versicolor,11,1.345,1.4,1.5 & 1.3 ,0.197,0.108,0.132,0.188,14.63,Sim,petal_width,iris
versicolor,12,1.358,1.4,1.5 ,0.193,0.1,0.123,0.173,14.2,Não,petal_width,iris
versicolor,13,1.331,1.4,1.5 ,0.21,0.104,0.127,0.178,15.76,Não,petal_width,iris
versicolor,14,1.336,1.4,1.5 ,0.202,0.096,0.117,0.163,15.15,Não,petal_width,iris
versicolor,15,1.333,1.4,1.5 & 1.3 ,0.195,0.089,0.108,0.15,14.64,Não,petal_width,iris
versicolor,16,1.338,1.4,1.4 & 1.5 & 1.3 ,0.189,0.083,0.101,0.139,14.15,Não,petal_width,iris
versicolor,17,1.347,1.4,1.5 ,0.187,0.079,0.096,0.133,13.92,Não,petal_width,iris
versicolor,18,1.328,1.4,1.5 ,0.199,0.082,0.099,0.136,15.02,Não,petal_width,iris
versicolor,19,1.337,1.4,1.5 ,0.198,0.079,0.095,0.131,14.8,Não,petal_width,iris
versicolor,20,1.325,1.4,1.5 ,0.2,0.077,0.093,0.128,15.07,Não,petal_width,iris
versicolor,21,1.348,1.4,1.5 ,0.22,0.083,0.1,0.137,16.36,Não,petal_width,iris
versicolor,22,1.345,1.4,1.5 ,0.215,0.079,0.096,0.13,16.01,Não,petal_width,iris
versicolor,23,1.352,1.4,1.5 ,0.213,0.076,0.092,0.125,15.75,Não,petal_width,iris
versicolor,24,1.346,1.4,1.5 ,0.211,0.074,0.089,0.121,15.64,Sim,petal_width,iris
versicolor,25,1.344,1.4,1.5 ,0.206,0.071,0.085,0.115,15.35,Sim,petal_width,iris
versicolor,26,1.346,1.4,1.5 ,0.202,0.068,0.082,0.111,15.04,Não,petal_width,iris
versicolor,27,1.348,1.4,1.5 ,0.199,0.065,0.079,0.106,14.75,Não,petal_width,iris
versicolor,28,1.361,1.4,1.5 ,0.206,0.066,0.08,0.108,15.15,Sim,petal_width,iris
versicolor,29,1.366,1.4,1.5 ,0.204,0.064,0.078,0.105,14.94,Não,petal_width,iris
versicolor,30,1.353,1.4,1.5 ,0.211,0.066,0.079,0.106,15.61,Não,petal_width,iris
versicolor,31,1.345,1.4,1.5 ,0.213,0.065,0.078,0.105,15.81,Não,petal_width,iris
versicolor,32,1.334,1.4,1.5 ,0.218,0.065,0.079,0.106,16.33,Não,petal_width,iris
versicolor,33,1.33,1.4,1.5 ,0.216,0.064,0.077,0.103,16.22,Não,petal_width,iris
versicolor,34,1.338,1.4,1.5 ,0.217,0.063,0.076,0.102,16.25,Não,petal_width,iris
versicolor,35,1.343,1.4,1.5 ,0.216,0.062,0.074,0.1,16.08,Não,petal_width,iris
versicolor,36,1.35,1.4,1.5 ,0.217,0.061,0.073,0.099,16.08,Não,petal_width,iris
versicolor,37,1.354,1.4,1.5 ,0.216,0.06,0.072,0.096,15.92,Não,petal_width,iris
versicolor,38,1.353,1.4,1.5 ,0.213,0.058,0.07,0.094,15.73,Não,petal_width,iris
versicolor,39,1.351,1.4,1.5 ,0.21,0.057,0.068,0.091,15.55,Não,petal_width,iris
versicolor,40,1.35,1.4,1.5 ,0.208,0.055,0.066,0.089,15.37,Não,petal_width,iris
versicolor,41,1.346,1.4,1.5 ,0.206,0.054,0.065,0.087,15.32,Não,petal_width,iris
versicolor,42,1.348,1.4,1.5 ,0.204,0.053,0.064,0.085,15.13,Não,petal_width,iris
versicolor,43,1.344,1.4,1.5 ,0.203,0.052,0.062,0.083,15.08,Sim,petal_width,iris
versicolor,44,1.336,1.35,1.5 ,0.207,0.052,0.063,0.084,15.49,Não,petal_width,iris
versicolor,45,1.336,1.3,1.5 & 1.3 ,0.205,0.051,0.061,0.082,15.32,Não,petal_width,iris
versicolor,46,1.333,1.3,1.5 & 1.3 ,0.203,0.05,0.06,0.081,15.26,Não,petal_width,iris
versicolor,47,1.332,1.3,1.3 ,0.201,0.049,0.059,0.079,15.11,Não,petal_width,iris
versicolor,48,1.331,1.3,1.3 ,0.199,0.048,0.058,0.077,14.96,Não,petal_width,iris
versicolor,49,1.327,1.3,1.3 ,0.2,0.048,0.057,0.077,15.06,Sim,petal_width,iris
versicolor,50,1.326,1.3,1.3 ,0.198,0.047,0.056,0.075,14.91,Sim,petal_width,iris
